,model,epoch,channel,fold,metric,value
555,cond_resnet_one_head,5,25,val,acc,0.6325
556,cond_resnet_one_head,5,33,train,loss,0.7332014715503854
557,cond_resnet_one_head,5,33,train,acc,0.74128
558,cond_resnet_one_head,5,33,val,loss,0.9578989170918799
559,cond_resnet_one_head,5,33,val,acc,0.6651
560,cond_resnet_one_head,5,41,train,loss,0.6750273148117163
561,cond_resnet_one_head,5,41,train,acc,0.7626
562,cond_resnet_one_head,5,41,val,loss,0.9258760060094724
563,cond_resnet_one_head,5,41,val,acc,0.6797
564,cond_resnet_one_head,5,49,train,loss,0.6403507084187949
565,cond_resnet_one_head,5,49,train,acc,0.77468
566,cond_resnet_one_head,5,49,val,loss,0.9089042878454658
567,cond_resnet_one_head,5,49,val,acc,0.6848
